Geno	Normfactor	Remove
33-16	0.587156001794938	no
38-11Goodman-Buckler	2.611612568777	no
4226	0.956325299399463	no
4722	1.37825354209281	no
A188	0.779972479211229	no
A214NGoodman-Buckler	0.747170568020183	no
A239	1.57096253099618	no
A272	1.76383275266893	no
A441-5	1.22180401154589	no
A554	0.177284387300159	yes
A556	0.549821658309335	no
A619	0.998765347248501	no
A632	1.04088292955879	no
A634	0.989163040094814	no
A635	0.808851059680899	no
A641	1.3580815311692	no
A654	1.16051764443253	no
A659	0.810857511921968	no
A661	0.673737998947492	no
A679	1.22579900127588	no
A680	1.12286083540818	no
A682	0.951739122848448	no
A6	11.704710807284	no
Ab28A	0.663831141007214	no
B103	1.04480626028017	no
B104	0.124937481510844	yes
B105	0.70528587748787	no
B109	0.897421594322369	no
B10	3.36102248081623	no
B14A	0.751147642998016	no
B164	0.523916926696963	no
B2	0.495862424826303	no
B37	0.982785388328559	no
B46	0.869582069477538	no
B52	0.586278178939471	no
B57	6.45441647922774	no
B64	0.870316574315786	no
B68	0.854694910438893	no
B73Htrhm	0.318076424465877	yes
B73	0.935884567193573	no
B75	0.582659399004686	no
B76	0.963974898568538	no
B77	0.685973774667581	no
B79	1.5330190859374	no
B84	1.33670923185139	no
C103	0.889700336144684	no
C123	1.31556982431156	no
C49A	0.657274341719435	no
CH701-30	0.54523548175832	no
CH9	1.04516455532322	no
CI187-2	1.19027404775767	no
CI21E	0.733250805597767	no
CI28AGoodman-Buckler	0.540255180659953	no
CI31A	0.62216142750073	no
CI3A	0.757453635755661	no
CI64	0.866339499337953	no
CI66	0.887192270843348	no
Ci7Goodman-Buckler	0.55471238564694	no
Ci90CGoodman-Buckler	0.432085907163756	no
Ci91BGoodman-Buckler	0.740577939228099	no
CM105	1.0520975644062	no
CM37	0.657256426967283	no
CM7	0.914798903910198	no
CML108	0.885956152944832	no
CML10	1.51139598008945	no
CML11	0.603888380305281	no
CML14	0.806056358345124	no
CML154Q	0.524400625005078	no
CML157Q	0.866357414090106	no
CML158Q	1.0886436587971	no
CML218	0.676514785531114	no
CML220	0.746077768138886	no
CML228	0.653333096245907	no
CML238	0.412558827317639	no
CML247	0.652688165168421	no
CML254	0.759298855227358	no
CML258	0.495110005235903	no
CML261	0.533949187902308	no
CML264	0.768059169029882	no
CML277	0.735096025069465	no
CML281	0.951739122848448	no
CML287	0.579130192830663	no
CML311	1.58848315860123	no
CML314	0.85922734273345	no
CML321	0.490201363146145	no
CML322	0.525690487160051	no
CML323	0.72244821004987	no
