Fold,Set,Taxa
0,282test,33-16
0,282test,C49A
0,282test,CM7
0,282test,CMV3
0,282test,CO255
0,282test,Ci7Goodman-Buckler
0,282test,E2558W
0,282test,EP1
0,282test,F7
0,282test,IA2132Goodman-Buckler
0,282test,Ia5125
0,282test,Il101
0,282test,Il14H
0,282test,K55
0,282test,K64
0,282test,Ky21
0,282test,L317
0,282test,NC236
0,282test,ND246
0,282test,P39Goodman-Buckler
0,282test,i1677a
1,282test,4226
1,282test,A188
1,282test,A441-5
1,282test,A654
1,282test,Ab28A
1,282test,B103
1,282test,B105
1,282test,B57
1,282test,B77
1,282test,B79
1,282test,CI187-2
1,282test,CI31A
1,282test,CI64
1,282test,CI66
1,282test,CO106
1,282test,Ci91BGoodman-Buckler
1,282test,D940Y
1,282test,DE-2
1,282test,DE1
1,282test,F6
1,282test,GA209
1,282test,GT112
1,282test,K4
1,282test,KY228
1,282test,MS1334
1,282test,Mo24W
1,282test,Mp339
1,282test,Mt42
1,282test,N28Ht
1,282test,N6
1,282test,NC222
1,282test,NC230
1,282test,NC238
1,282test,OH7B
1,282test,Os420
1,282test,R168
1,282test,SC213R
1,282test,SC357
1,282test,SD40
1,282test,T232
1,282test,T8
1,282test,Tzi16
1,282test,Tzi25
1,282test,U267Y
2,282test,NC296
2,282test,NC296A
2,282test,NC300
2,282test,NC302
2,282test,NC304
2,282test,NC33
2,282test,NC336
2,282test,NC338
2,282test,NC340
2,282test,NC346
2,282test,NC348
2,282test,NC350
2,282test,NC352
2,282test,NC354
2,282test,NC356
3,282test,A239
3,282test,A556
3,282test,A659
3,282test,B164
3,282test,B2
3,282test,B46
3,282test,B52
3,282test,B75
3,282test,CH9
3,282test,CI28AGoodman-Buckler
3,282test,H49
3,282test,K148
3,282test,MO1W
3,282test,MS153
3,282test,NC260
3,282test,Pa875
3,282test,Pa880
3,282test,R177
3,282test,R4
3,282test,Va22
3,282test,W117Ht
3,282test,W182B
3,282test,W22
3,282test,W64A
3,282test,Wf9
4,282test,A214NGoodman-Buckler
4,282test,A6
4,282test,A632
4,282test,A634
4,282test,A635
4,282test,A641
4,282test,B14A
4,282test,B64
4,282test,B68
4,282test,CM105
4,282test,DE811
4,282test,H105W
4,282test,H91
5,282test,A679
5,282test,A680
5,282test,B10
5,282test,B109
5,282test,B37
5,282test,B73
5,282test,B76
5,282test,B84
5,282test,H84
5,282test,N192
5,282test,NC250
5,282test,NC294
5,282test,NC306
5,282test,NC310
5,282test,NC314
5,282test,NC324
5,282test,NC326
5,282test,NC328
5,282test,NC368
5,282test,R229
6,282test,38-11Goodman-Buckler
6,282test,A661
6,282test,CH701-30
6,282test,CI21E
6,282test,CI3A
6,282test,CM37
6,282test,CO125
6,282test,Ci90CGoodman-Buckler
6,282test,H95
6,282test,I205
6,282test,ILLHy
6,282test,M14
6,282test,MEF156-55-2
6,282test,Mo45
6,282test,Mo46
6,282test,Mo47
6,282test,MoG
6,282test,T234
6,282test,Va85
7,282test,A272
7,282test,CML10
7,282test,CML108
7,282test,CML11
7,282test,CML14
7,282test,CML154Q
7,282test,CML157Q
7,282test,CML158Q
7,282test,CML218
7,282test,CML220
7,282test,CML228
7,282test,CML238
7,282test,CML247
7,282test,CML254
7,282test,CML258
7,282test,CML261
7,282test,CML277
7,282test,CML281
7,282test,CML287
7,282test,CML311
7,282test,CML314
7,282test,CML321
7,282test,CML322
7,282test,CML323
7,282test,CML328
7,282test,CML331
7,282test,CML332
7,282test,CML333
7,282test,CML341
7,282test,CML38
7,282test,CML45
7,282test,CML5
7,282test,CML52
7,282test,CML61
7,282test,CML69
7,282test,CML77
7,282test,CML91
7,282test,CML92
7,282test,F2834T
7,282test,Hi27Goodman-Buckler
7,282test,I137TN
7,282test,KY226
7,282test,Ki11
7,282test,Ki14
7,282test,Ki2021
7,282test,Ki21
7,282test,Ki43
7,282test,Ki44
7,282test,L578
7,282test,M162W
7,282test,M37W
7,282test,Mo18W
7,282test,NC232
7,282test,NC264
7,282test,NC318
7,282test,NC320
7,282test,NC358
7,282test,NC366
7,282test,Oh603
7,282test,SC55
7,282test,Tx303
7,282test,Tx601
7,282test,Tzi10
7,282test,Tzi11
7,282test,Tzi18
7,282test,Tzi9
8,282test,4722
8,282test,HP301
8,282test,I29
8,282test,IDS28
8,282test,IDS69
8,282test,IDS91
8,282test,SA24
8,282test,Sg1533
8,282test,Sg18
9,282test,A619
9,282test,H99
9,282test,Oh40B
9,282test,Oh43E
9,282test,Pa762
9,282test,Pa91
9,282test,Va26
9,282test,Va99
9,282test,VaW6
9,282test,W153R
10,282test,A682
10,282test,C103
10,282test,C123
10,282test,Mo17
10,282test,NC258
10,282test,NC262
10,282test,NC290A
10,282test,NC342
10,282test,NC344
10,282test,NC360
10,282test,NC362
10,282test,NC364
10,282test,VA102
10,282test,Va17
10,282test,Va35
10,282test,Va59
10,282test,Yu796
