lines,DTS,DTA
33-16,81.704,79.306
38-11Goodman-Buckler,83.33,80.9
4226,73.066,70.292
4722,83.016,79.563
A188,67.996,66.173
A214NGoodman-Buckler,87.855,87.749
A239,73.357,71.62
A272,76.962,73.442
A441-5,82.101,79.519
A556,69.262,69.715
A619,73.66,71.649
A632,72.292,70.151
A634,71.932,70.542
A635,77.835,73.273
A641,68.81,66.931
A654,65.865,64.417
A659,68.382,65.765
A661,68.236,65.234
A679,71.534,70.205
A680,76.59,75.762
A682,71.394,67.936
A6,88.212,84.758
Ab28A,88.027,85.001
B103,72.251,70.795
B105,80.284,77.397
B109,75.687,74.274
B10,83.929,78.343
B14A,77.727,74.297
B164,75.984,72.221
B2,76.228,73.354
B37,79.417,74.379
B46,78.052,74.677
B52,79.689,79.667
B57,76.507,73.321
B64,65.708,63.867
B68,81.649,77.65
B73,75.789,75.552
B75,76,72.763
B76,74.811,72.517
B77,77.959,75.914
B79,78.057,75.203
B84,79.428,77.332
C103,78.538,75.428
C123,74.821,71.854
C49A,65.759,63.4
CH701-30,72.749,69.204
CH9,73.756,70.125
CI187-2,84.018,81.053
CI21E,80.356,78.093
CI28AGoodman-Buckler,81.944,78.931
CI31A,83.701,81.125
CI3A,82.511,78.749
CI64,81.8,81.345
CI66,86.442,82.564
Ci7Goodman-Buckler,82.533,80.385
Ci90CGoodman-Buckler,84.089,81.145
Ci91BGoodman-Buckler,79.913,77.049
CM105,67.166,65.119
CM37,64.466,61.342
CM7,66.137,64.776
CML108,87.283,85.448
CML10,92.229,87.854
CML11,92.579,88.534
CML14,97.443,94.047
CML154Q,83.822,82.108
CML157Q,86.957,84.409
CML158Q,90.205,85.955
CML218,87.272,87.013
CML220,79.688,77.107
CML228,92.919,90.173
CML238,90.968,87.627
CML247,94.262,91.393
CML254,95.012,90.786
CML258,96.203,94.722
CML261,95.051,92.49
CML264,,
CML277,93.062,90.497
CML281,89.589,85.599
CML287,96.433,93.863
CML311,95.424,91.184
CML314,89.17,86.028
CML321,93.607,91.697
CML322,85.677,81.748
CML323,84.979,82.186
CML328,88.449,86.227
CML331,97.139,85.538
CML332,90.487,86.07
CML333,87.546,83.379
CML341,93.491,90.074
CML38,92.378,88.57
CML45,94.64,90.52
CML52,97.847,90.176
CML5,94.234,91.579
CML61,94.16,90.27
CML69,89.967,86.615
CML77,83.159,84.855
CML91,88.533,84.877
CML92,83.68,81.769
CMV3,64.609,63.454
CO106,65.472,63.127
CO125,65.846,63.723
CO255,63.807,61.529
D940Y,89.009,84.452
DE1,80.16,77.943
DE-2,78.738,75.67
DE811,82.601,80.173
DE,,
E2558W,83.912,79.872
EP1,66.503,63.19
F2834T,79.621,76.782
F6,88.65,87.097
F7,63.195,61.536
GA209,90.655,86.141
GT112,90.204,88.843
H105W,75.387,71.73
H49,76.703,74.54
H84,79.112,74.991
H91,77.28,75.125
H95,79.29,76.125
H99,73.286,71.132
Hi27Goodman-Buckler,89.56,89.031
HP301,77.443,74.851
