Taxa	CC	KC	Oil	ULA	FT
33-16	1.0	0.0		0.22462714465496728	81.704
38-11Goodman-Buckler	2.0	1.0	0.8162517222808507	0.2760172664811667	83.33
4226		1.0	0.7826183680905457	0.45244162108115876	73.066
4722	1.0	1.0	0.7641629643127235	0.24946725876263404	83.016
A188	1.0	0.0	0.7907279597846523	0.43243107290233557	67.996
A214NGoodman-Buckler	1.0	1.0	0.7292060850478062	0.14165065984178624	87.855
A239	2.0	1.0	0.7448606622057294	0.3090381090562585	73.357
A272				0.37148210490022593	76.962
A441-5	2.0	1.0	0.7180143956428607	0.35954714278920746	82.101
A556	2.0	1.0	0.7419085036949463	0.41075792824805585	69.262
A619	1.0	1.0	0.7234048232785045	0.3307219598550649	73.66
A632	2.0	1.0	0.7720581826892084	0.5211319204965322	72.292
A634	2.0	1.0	0.7767496092926977	0.5233691618069792	71.932
A635	2.0	1.0	0.7317468331276716	0.5724763315484913	77.835
A641	1.0	1.0	0.7536825129224769	0.4087702615322464	68.81
A654		1.0	0.7926945897421197	0.3231896236239633	65.865
A659	2.0	1.0	0.7499430854518642	0.42576108213875546	68.382
A661	1.0	1.0	0.8045602581894845	0.350224405009695	68.236
A679		1.0	0.7010122874871867	0.09253471590434668	71.534
A680	2.0	1.0	0.740524057864601	0.0	76.59
A682	2.0	1.0	0.7547109648208667	0.5307138171941324	71.394
A6	1.0	1.0	0.8017715032124795	0.10430184523720619	88.212
Ab28A		1.0	0.8076597301492208	0.19246191485795255	88.027
B103	2.0	1.0	0.7788581245533428	0.2988658848427923	72.251
B105	2.0	1.0	0.7443192141550973	0.1647944315166244	80.284
B109	2.0	1.0	0.748592739222072	0.22915318372405083	75.687
B10	2.0	1.0	0.7262437411151058	0.4548103359104796	83.929
B14A	2.0	1.0	0.7720221795681543	0.4683773366974693	77.727
B164	2.0	1.0	0.8037094101970145	0.30821506159023815	75.984
B2		1.0	0.7597466560877876	0.23120102222348238	76.228
B37	2.0	1.0	0.734815578638917	0.2903124231101832	79.417
B46	2.0	1.0	0.7629916436717553	0.3893478460074132	78.052
B52	2.0	1.0	0.7838026779014229	0.23246903284814555	79.689
B57	2.0	1.0	0.7305707581750625	0.36052482111488127	76.507
B64		1.0	0.7048719454357547	0.5625082145014152	65.708
B68		1.0	0.7383288442738357	0.4509826645494026	81.649
B73	2.0	1.0	0.7287572509076392	0.06810976084014544	75.789
B75		1.0	0.7815434246997195	0.42245170941555726	76.0
B76		1.0	0.7211432701225672	0.40807461927088196	74.811
B77		1.0	0.8038915817056175	0.37210425249703705	77.959
B79		1.0	0.7298492760912738	0.17750935941425552	78.057
B84		1.0	0.7252910003708092	0.2749751122573236	79.428
C103	2.0	1.0	0.7534552118685529	0.32477999805608193	78.538
C123	2.0	1.0	0.7631030079691458	0.4440623428376477	74.821
C49A	1.0	1.0		0.42625687875795065	65.759
CH701-30	2.0	1.0	0.7823787668921154	0.4038502866473624	72.749
