Genotype,CobDiameter,CobWeight,DaystoSilk,DaysToTassel,EarDiameter,EarHeight,EarLength,EarRankNumber,EarRowNumber,EarWeight,GDDAnthesis.SilkingInterval,GDDDaystoSilk,GDDDaystoTassel,GerminationCount,LeafLength,LeafWidth,MainSpikeLength,MiddleLeafAngle,NIROil,NIRProtein,NIRStarch,NumberofTilleringPlants,PlantHeight,RowQuality,SecondaryBranchNumber,SeedSetLength,SouthernLeafBlight,Spikelets.MainSpike,Spikelets.PrimaryBranch,StandCount,TasselBranchLength,TasselLength,TasselPrimaryBranches,TilleringIndex,TotalKernelVolume,UpperLeafAngle,X20KernelWeight
38-11,25.57219983,17.04095566,81.32614284,80.27155996,37.5549959,85.19047784,149.6719949,25.94009077,15.22647172,82.85530524,16.91386616,969.4006369,960.1391891,7.583445227,863.6273193,87.86874679,229.7436996,53.04572457,5.217237813,15.75611891,63.13517628,1.242602085,147.2857535,2.338457601,2.487106973,129.1157145,7.105461339,30.28262519,17.06196757,7.890841336,229.237349,345.3474276,10.73106262,0.530819395,57.6240761,60.67048206,4.304340056
4226,25.98126635,17.11879981,71.41377884,70.33679403,39.29176113,72.1057586,135.1586828,22.33658527,13.03440637,76.32488403,16.79100941,831.4978178,827.4760677,6.363634154,737.4259397,91.6167665,222.5101577,47.81215765,4.454917166,14.37078548,67.04620704,1.242602085,145.6332824,2.338457601,2.053278376,124.4744423,5.797903442,26.11263748,17.33270124,7.397845029,177.6849882,318.4280637,20.0625786,0.530819395,65.44676356,37.8084603,4.247196354
4722,24.92421396,22.43927509,80.62653751,78.42265086,32.00520714,75.19851042,138.0802345,22.55373568,12.13311832,48.58488507,33.47963345,966.7182445,936.7057774,6.97353969,764.8512332,92.74483626,218.392187,61.55027081,4.123678283,14.2092993,62.7358317,1.242602085,145.8693497,2.158135118,4.320745448,119.0728044,7.178103445,22.40598174,15.7082992,7.945618703,224.342645,343.0847965,10.58139262,0.662944391,50.07400656,63.39936527,3.295745061
A188,23.90111356,12.53230421,65.79962543,65.47608938,39.31210246,35.70644873,122.5105659,20.77319236,12.47215156,67.94929222,10.94533319,744.9364217,745.0153274,8.02701289,618.7524011,73.82150135,228.7848306,61.55027081,4.617759585,14.64303267,65.84963608,1.242602085,111.4035224,2.24829636,1.303941505,111.4570821,4.345061334,18.46766001,16.24976654,7.671731866,169.9567454,333.3080726,14.9351965,0.542887956,62.013442,43.06068947,5.039425067
A214N,23.3808609,12.830087,86.48206551,87.05118266,34.01864979,78.24412316,138.3859113,20.16921153,12.3684418,53.03334854,-4.858244652,990.162011,1017.558568,6.47452607,704.4544719,80.22472059,219.2630789,64.82125013,3.613859993,13.12677852,67.04816235,1.497289536,145.2382565,2.158135118,1.212121738,113.2969554,6.524324496,23.33264568,19.7693043,7.781286601,207.2813894,286.3563807,7.122205977,0.622925579,53.5451584,70.60351529,4.413035476
A239,24.33811596,13.85531189,71.84324552,71.31360895,36.3527896,45.46051216,121.8425068,20.82481604,12.60067219,69.13820436,9.667353536,832.9165248,829.3921225,6.308188196,667.1615008,76.91523181,243.8354705,57.62509562,3.825800482,13.08632359,69.02266681,1.242602085,114.7084648,2.24829636,0.893997417,108.9064909,7.25074555,22.86931371,14.08389715,7.397845029,196.0420991,324.0849564,5.110401922,0.542887956,60.38760437,57.93285771,5.388835397
A272,20.8180009,8.837567511,75.12331383,73.7579874,30.43564767,49.32245239,113.2617006,19.31740722,11.21885937,39.86344759,29.43424358,882.7715096,852.1659275,4.201241798,641.4445175,75.87781972,204.806273,44.34669458,NA,NA,NA,1.242602085,135.071628,2.24829636,0.868003754,99.22413398,4.708271861,24.95430756,14.35463083,7.014403457,158.0385447,266.6273032,9.806057685,0.542887956,50.22282051,51.51738754,4.137959325
A441-5,24.42286349,14.19733092,81.49402314,79.77933825,37.50997221,48.27075527,106.2366523,18.81757121,11.58928322,59.26482219,27.89232347,971.8233574,948.1074033,6.918093732,753.1451942,101.1262858,177.9828019,62.20446667,3.476085649,14.34918759,67.12378665,1.242602085,105.0931079,2.158135118,1.332180289,106.2769003,6.814892918,24.4909756,18.68636961,7.671731866,142.0953707,252.7525514,12.78811514,0.641978888,62.84480698,52.38883803,5.913460798
A554,23.9290319,12.84124511,64.25274627,64.04176454,36.3686406,41.96057255,103.4593212,19.632548,13.06424394,54.91921269,8.111682024,738.2429865,731.5568565,6.807201817,583.7942757,70.35959826,188.9083059,58.93348735,3.861708313,15.99629313,61.89886671,1.242602085,105.8751562,2.24829636,1.303941505,97.14323043,4.490345545,21.94264977,23.28884206,7.233512926,172.9904692,273.5370543,9.24124894,0.530819395,53.93590438,36.88496036,3.793894791
A556,22.23805639,20.60876207,67.76505589,68.8880266,34.11132588,41.05628586,116.511181,19.57343903,12.40488393,55.95211356,-3.544975715,764.2397545,783.4905172,6.585417985,611.322766,81.72582515,217.5793545,52.04031458,3.783966742,12.9159646,68.69038123,1.242602085,94.6427434,2.338457601,1.372221039,109.2207156,6.233756074,24.02764363,15.43756552,8.164728173,191.8907869,281.3216607,6.585435636,0.530819395,57.3249763,46.25261525,4.302105525
A6,25.97193168,14.12092106,92.25699228,88.26812537,35.52481596,97.74053249,117.3852429,22.16503649,13.80807132,57.42375762,38.36235824,1077.725276,1038.764443,5.476498828,844.6836756,85.99682436,202.8392565,72.01740464,4.859487421,13.67130598,65.05420124,1.242602085,160.7415902,2.338457601,4.601713417,105.2915677,8.049808709,23.33264568,18.68636961,8.055173438,193.2739929,331.3400728,15.96079885,0.56787256,63.48101383,71.86879902,4.154487131
A619,29.60510087,19.53013941,70.92728244,70.06545655,41.78478309,46.57769573,144.7801684,20.97048188,13.40087038,79.10361654,15.68425875,831.1425254,817.0235426,6.751755859,593.3937609,88.03352454,212.0082203,57.35666303,3.541118839,14.1774018,66.10246124,1.242602085,130.5249745,2.24829636,0.868003754,125.1391741,6.742250812,23.79597764,17.33270124,7.616954498,178.4078332,283.8809308,7.751435261,0.530819395,58.34861359,56.07880365,5.093038633
A632,24.05792856,12.37113495,70.10827427,69.14290912,35.77498942,72.18909544,121.1202273,19.87796925,13.43760517,56.95475201,19.28901601,835.2371543,811.6081832,9.413161836,687.0420724,71.8953297,206.2379566,54.3541163,4.259204715,14.07728418,66.51423857,1.242602085,135.3060583,2.067973876,1.372221039,105.0743442,5.36205081,26.10114054,16.82985419,8.21950554,194.1039165,270.7033942,7.480052872,0.56787256,58.74627267,26.05497149,4.618825798
A634,25.70494673,15.87846502,71.35528486,70.17399154,37.18841282,60.68636727,124.2987362,18.36802762,13.35884902,62.57234923,17.73368898,831.3676582,814.8015357,8.581472468,705.9743904,70.61989172,177.65394,59.8057485,4.344003376,15.41861426,66.00737031,1.242602085,128.8725034,2.158135118,0.939978107,106.9734476,4.41770344,22.86931371,13.27169613,7.836063968,196.2157413,246.0859975,4.953121008,0.530819395,51.37571041,24.84944667,4.750100983
A635,22.81439607,12.23239974,74.28304885,71.42214394,35.9110381,43.0814723,120.5634537,18.74167851,13.51695987,47.84635564,43.93431342,891.7143006,848.8884554,7.805229058,644.1377064,65.46608112,227.510343,56.97089976,3.646659845,13.87716639,68.81601071,1.242602085,94.87881071,2.24829636,1.21869959,95.58785178,5.870545548,25.18597355,16.24976654,7.836063968,154.7195612,282.0906445,7.819154065,0.542887956,54.76030078,13.43008147,4.340652793
A641,25.82505811,12.44013208,66.85520316,66.37526685,34.62008999,47.48198243,116.8259792,17.95357214,13.25683519,52.66687591,11.37765164,776.1648368,762.5442847,7.306215437,623.3921522,81.89059876,215.3150355,47.81215765,3.956463387,13.78450362,68.97889133,1.242602085,113.4349569,2.067973876,0.507570431,100.6908133,5.507335021,23.56431166,19.22783696,7.781286601,147.4722433,265.2808083,4.617277716,0.542887956,55.86132312,45.50764066,4.708435247
A654,22.4102178,10.65122019,64.52383553,64.47590451,32.36148189,34.99273677,117.4868239,21.56856015,12.6214259,49.06599673,11.68128766,726.1184204,716.7569405,7.583445227,560.1599794,73.07497626,204.3855134,66.12964186,4.65904457,15.46570346,65.63182609,1.242602085,103.1411666,2.158135118,0.432066004,101.8413323,4.746729432,18.93099198,16.52050022,8.383837643,189.4592556,266.2207509,4.463331656,0.542887956,62.45737654,56.76569568,4.484077637
A659,25.89527137,15.19870264,67.1569354,66.32099936,35.48472953,43.79518426,114.2306803,17.20993294,13.43250029,49.87309505,25.22490316,786.3040946,780.4142704,6.47452607,698.4814589,69.91709937,233.7779442,56.47060496,3.900012068,14.74293038,65.33960382,1.166926381,112.583859,2.067973876,0.536056589,99.28298586,4.54193983,21.94264977,14.89609818,8.055173438,192.7207105,303.4510117,8.911440449,0.48878228,46.04975385,43.41729392,4.974196569
A661,27.04795761,18.21188041,66.09615323,64.25883453,37.86318195,59.05065074,116.5228841,19.31740722,14.47091501,63.33101575,25.59737448,757.7967782,726.5259645,7.860675016,607.2063535,86.96632133,224.7787277,55.00831216,4.924551173,15.57127055,66.29553747,1.242602085,128.5545584,2.158135118,0.814778072,102.1304796,6.596966601,24.02764363,16.24976654,7.945618703,161.1836135,289.8689761,5.929382996,0.530819395,53.94698856,53.60773428,4.053229148
A679,27.22410385,19.54271482,69.78296715,68.79086282,41.56938557,66.18961891,146.8242639,26.5538161,17.43608876,87.87422588,5.19722428,822.4482784,819.9459088,8.193350763,746.6122112,83.4783889,225.9131332,67.43803359,3.285646325,14.3109336,69.27333629,1.242602085,137.8620675,2.158135118,0.893997417,128.9926377,7.105461339,23.33264568,14.08389715,8.109950805,195.2772195,313.1533935,7.122205977,0.679032053,70.04617442,73.72732166,3.793391015
