Fold,Set,Taxa
0,282test,A682
0,282test,CI187-2
0,282test,CI64
0,282test,CM105
0,282test,CML220
0,282test,CML258
0,282test,DE-2
0,282test,EP1
0,282test,H105W
0,282test,H99
0,282test,IDS28
0,282test,Il14H
0,282test,K55
0,282test,MS1334
0,282test,Mo46
0,282test,N6
0,282test,NC230
0,282test,NC320
0,282test,NC342
0,282test,Pa91
0,282test,R4
0,282test,SC213R
0,282test,SC357
0,282test,Tx601
1,282test,A556
1,282test,A679
1,282test,B37
1,282test,B57
1,282test,CI31A
1,282test,CML218
1,282test,CML247
1,282test,Ci7Goodman-Buckler
1,282test,IDS91
1,282test,K148
1,282test,Ki44
1,282test,NC238
1,282test,NC300
1,282test,NC302
1,282test,NC304
1,282test,NC340
1,282test,NC350
1,282test,ND246
1,282test,Pa880
1,282test,R168
1,282test,SC55
1,282test,T8
1,282test,Tzi18
1,282test,Yu796
2,282test,A619
2,282test,A641
2,282test,A654
2,282test,A659
2,282test,A661
2,282test,A680
2,282test,B14A
2,282test,B77
2,282test,B79
2,282test,CI28AGoodman-Buckler
2,282test,CML332
2,282test,CML91
2,282test,GA209
2,282test,L317
2,282test,M14
2,282test,NC236
2,282test,NC260
2,282test,NC262
2,282test,NC344
2,282test,Oh603
2,282test,Os420
2,282test,Sg1533
2,282test,Tzi9
2,282test,Va17
3,282test,B10
3,282test,CML158Q
3,282test,CML238
3,282test,CML69
3,282test,CO125
3,282test,Ci91BGoodman-Buckler
3,282test,D940Y
3,282test,DE811
3,282test,IDS69
3,282test,K64
3,282test,KY228
3,282test,Ki43
3,282test,MO1W
3,282test,Mo17
3,282test,Mo18W
3,282test,NC264
3,282test,NC324
3,282test,NC362
3,282test,Oh43E
3,282test,SA24
3,282test,Sg18
3,282test,T234
3,282test,Tzi16
3,282test,W22
4,282test,B105
4,282test,B68
4,282test,C103
4,282test,CI21E
4,282test,CI3A
4,282test,CML10
4,282test,CML311
4,282test,CML45
4,282test,CML61
4,282test,CML77
4,282test,CO255
4,282test,Ci90CGoodman-Buckler
4,282test,F7
4,282test,I137TN
4,282test,I205
4,282test,M162W
4,282test,MEF156-55-2
4,282test,NC296
4,282test,NC33
4,282test,NC336
4,282test,NC348
4,282test,SD40
4,282test,VA102
4,282test,Va99
5,282test,4226
5,282test,A188
5,282test,A441-5
5,282test,A635
5,282test,B109
5,282test,B164
5,282test,C49A
5,282test,CML314
5,282test,CML331
5,282test,CML333
5,282test,CML52
5,282test,CML92
5,282test,CO106
5,282test,GT112
5,282test,Ki11
5,282test,Ki21
5,282test,Mp339
5,282test,Mt42
5,282test,N192
5,282test,NC290A
5,282test,NC294
5,282test,NC352
5,282test,NC360
5,282test,W153R
6,282test,A6
6,282test,CH701-30
6,282test,CML108
6,282test,CML157Q
6,282test,CML228
6,282test,DE1
6,282test,H95
6,282test,Ia5125
6,282test,Ki14
6,282test,MS153
6,282test,Mo47
6,282test,N28Ht
6,282test,NC232
6,282test,NC318
6,282test,NC328
6,282test,NC338
6,282test,NC346
6,282test,NC366
6,282test,OH7B
6,282test,U267Y
6,282test,Va22
6,282test,Va59
6,282test,i1677a
7,282test,33-16
7,282test,4722
7,282test,A239
7,282test,B52
7,282test,B75
7,282test,CH9
7,282test,CM37
7,282test,CML14
7,282test,CML323
7,282test,I29
7,282test,M37W
7,282test,Mo24W
7,282test,MoG
7,282test,NC250
7,282test,NC258
7,282test,NC296A
7,282test,NC314
7,282test,NC356
7,282test,P39Goodman-Buckler
7,282test,R229
7,282test,Tx303
7,282test,Tzi10
7,282test,Tzi11
8,282test,A214NGoodman-Buckler
8,282test,A634
8,282test,Ab28A
8,282test,B76
8,282test,B84
8,282test,CI66
8,282test,CML11
8,282test,CML254
8,282test,CML261
8,282test,CML281
8,282test,CML321
8,282test,CML328
8,282test,CML38
8,282test,F6
8,282test,L578
8,282test,Mo45
8,282test,NC358
8,282test,NC364
8,282test,Pa762
8,282test,Pa875
8,282test,Va26
8,282test,W117Ht
8,282test,Wf9
9,282test,B103
9,282test,B46
9,282test,B73
9,282test,CML154Q
9,282test,CML277
9,282test,CML341
9,282test,CMV3
9,282test,F2834T
9,282test,H91
9,282test,HP301
9,282test,IA2132Goodman-Buckler
9,282test,ILLHy
9,282test,K4
9,282test,KY226
9,282test,NC306
9,282test,NC310
9,282test,NC326
9,282test,R177
9,282test,T232
9,282test,Tzi25
9,282test,Va85
9,282test,VaW6
9,282test,W64A
10,282test,38-11Goodman-Buckler
10,282test,A272
10,282test,A632
10,282test,B2
10,282test,B64
10,282test,C123
10,282test,CM7
10,282test,CML287
10,282test,CML322
10,282test,CML5
10,282test,E2558W
10,282test,H49
10,282test,H84
10,282test,Hi27Goodman-Buckler
10,282test,Il101
10,282test,Ki2021
10,282test,Ky21
10,282test,NC222
10,282test,NC354
10,282test,NC368
10,282test,Oh40B
10,282test,Va35
10,282test,W182B
