Fold,Set,Taxa
0,282test,A556
0,282test,A659
0,282test,A679
0,282test,A682
0,282test,B37
0,282test,B57
0,282test,CI21E
0,282test,CI3A
0,282test,CI66
0,282test,CML218
0,282test,CML220
0,282test,CML238
0,282test,CML261
0,282test,CML61
0,282test,CMV3
0,282test,D940Y
0,282test,DE-2
0,282test,F2834T
0,282test,F6
0,282test,H105W
0,282test,Hi27Goodman-Buckler
0,282test,IDS28
0,282test,KY226
0,282test,Ki21
0,282test,Ki44
0,282test,MEF156-55-2
0,282test,MS153
0,282test,NC250
0,282test,NC262
0,282test,NC302
0,282test,NC318
0,282test,NC324
0,282test,NC336
0,282test,NC338
0,282test,Oh603
0,282test,Os420
0,282test,R168
0,282test,SD40
0,282test,W117Ht
0,282test,W22
0,282test,Yu796
1,282test,A619
1,282test,A641
1,282test,A654
1,282test,A661
1,282test,A680
1,282test,B10
1,282test,B14A
1,282test,B84
1,282test,CI31A
1,282test,CM105
1,282test,CM37
1,282test,CML287
1,282test,CO255
1,282test,Ci90CGoodman-Buckler
1,282test,DE1
1,282test,H84
1,282test,H99
1,282test,ILLHy
1,282test,Il101
1,282test,Ki14
1,282test,Mo17
1,282test,N192
1,282test,NC258
1,282test,NC296
1,282test,NC296A
1,282test,NC320
1,282test,NC33
1,282test,NC356
1,282test,NC360
1,282test,NC362
1,282test,NC364
1,282test,Pa91
1,282test,R177
1,282test,R4
1,282test,SC213R
1,282test,Tzi16
1,282test,Va26
1,282test,Va59
1,282test,VaW6
1,282test,W182B
1,282test,i1677a
2,282test,4226
2,282test,A188
2,282test,A635
2,282test,B105
2,282test,B109
2,282test,B164
2,282test,B68
2,282test,B79
2,282test,C123
2,282test,CH701-30
2,282test,CI28AGoodman-Buckler
2,282test,CI64
2,282test,CML11
2,282test,CML258
2,282test,CML328
2,282test,CML331
2,282test,CML5
2,282test,Ci91BGoodman-Buckler
2,282test,EP1
2,282test,GT112
2,282test,KY228
2,282test,Ki11
2,282test,Mo18W
2,282test,Mo45
2,282test,Mo46
2,282test,Mp339
2,282test,Mt42
2,282test,NC230
2,282test,NC238
2,282test,NC260
2,282test,NC290A
2,282test,NC306
2,282test,NC314
2,282test,NC328
2,282test,NC344
2,282test,NC346
2,282test,NC368
2,282test,Pa880
2,282test,Tx601
2,282test,Tzi11
2,282test,Wf9
3,282test,33-16
3,282test,4722
3,282test,A239
3,282test,A441-5
3,282test,A6
3,282test,B52
3,282test,B76
3,282test,CH9
3,282test,CML10
3,282test,CML154Q
3,282test,CML158Q
3,282test,CML254
3,282test,CML77
3,282test,CO106
3,282test,DE811
3,282test,GA209
3,282test,I137TN
3,282test,Ia5125
3,282test,Il14H
3,282test,K148
3,282test,K55
3,282test,L317
3,282test,L578
3,282test,MoG
3,282test,N28Ht
3,282test,N6
3,282test,NC232
3,282test,NC236
3,282test,NC304
3,282test,NC310
3,282test,NC326
3,282test,NC352
3,282test,NC366
3,282test,Pa875
3,282test,SC357
3,282test,Sg18
3,282test,T234
3,282test,Tzi10
3,282test,Tzi18
3,282test,Tzi9
3,282test,W153R
4,282test,A214NGoodman-Buckler
4,282test,A634
4,282test,Ab28A
4,282test,B77
4,282test,C103
4,282test,CI187-2
4,282test,CM7
4,282test,CML14
4,282test,CML281
4,282test,CML311
4,282test,CML314
4,282test,CML321
4,282test,CML332
4,282test,CML38
4,282test,CML45
4,282test,CML92
4,282test,Ci7Goodman-Buckler
4,282test,H91
4,282test,H95
4,282test,IA2132Goodman-Buckler
4,282test,IDS91
4,282test,K4
4,282test,Ki43
4,282test,Ky21
4,282test,MS1334
4,282test,Mo24W
4,282test,Mo47
4,282test,NC222
4,282test,NC348
4,282test,ND246
4,282test,Oh40B
4,282test,Oh43E
4,282test,Pa762
4,282test,SC55
4,282test,Sg1533
4,282test,T232
4,282test,T8
4,282test,Tx303
4,282test,Va17
4,282test,Va22
4,282test,Va99
5,282test,38-11Goodman-Buckler
5,282test,A272
5,282test,A632
5,282test,B103
5,282test,B2
5,282test,B46
5,282test,B64
5,282test,B75
5,282test,C49A
5,282test,CML108
5,282test,CML157Q
5,282test,CML323
5,282test,CML341
5,282test,CML91
5,282test,CO125
5,282test,E2558W
5,282test,F7
5,282test,H49
5,282test,I205
5,282test,I29
5,282test,IDS69
5,282test,K64
5,282test,Ki2021
5,282test,M14
5,282test,MO1W
5,282test,NC264
5,282test,NC294
5,282test,NC300
5,282test,NC340
5,282test,NC342
5,282test,NC354
5,282test,P39Goodman-Buckler
5,282test,R229
5,282test,SA24
5,282test,Tzi25
5,282test,U267Y
5,282test,VA102
5,282test,Va35
5,282test,Va85
5,282test,W64A
