kmer_sum_interval	all_kmer_log10_freq_sum
100	6.521820384
200	8.219049926
300	8.244900765
400	8.118072635
500	8.009032059
600	7.92135321
700	7.849572649
800	7.788254861
900	7.732153778
1000	7.667903573
1100	7.58031575
1200	7.476911483
1300	7.367180919
1400	7.258827957
1500	7.152518887
1600	7.046497232
1700	6.937231143
1800	6.829540286
1900	6.730611834
2000	6.648591053
2100	6.581689959
2200	6.523064584
2300	6.469047841
2400	6.416388843
2500	6.364503718
2600	6.312966285
2700	6.261758514
2800	6.213029
2900	6.166421232
3000	6.118660471
3100	6.072866518
3200	6.027507801
3300	5.984507061
3400	5.941490562
3500	5.898127616
3600	5.858507722
3700	5.817595776
3800	5.776103073
3900	5.737481281
4000	5.698378092
4100	5.656216107
4200	5.61898892
4300	5.58024165
4400	5.548869518
4500	5.512545656
4600	5.474227923
4700	5.439708393
4800	5.406604894
4900	5.368093409
5000	5.337974119
5100	5.302545209
5200	5.269024672
5300	5.236045757
5400	5.20675034
5500	5.173687313
5600	5.141346283
5700	5.111443992
5800	5.086769014
5900	5.055928497
6000	5.027639041
6100	4.99612624
6200	4.966221542
6300	4.93962407
6400	4.910106571
6500	4.887240223
6600	4.858242355
6700	4.827485586
6800	4.809398087
6900	4.780173244
7000	4.746299399
7100	4.72214836
7200	4.702800907
7300	4.676611314
7400	4.646335096
7500	4.615402896
7600	4.596421143
7700	4.574147064
7800	4.551901137
7900	4.531810898
8000	4.508933526
8100	4.489522561
8200	4.465799099
8300	4.437512745
8400	4.421883496
8500	4.402639613
8600	4.387033701
8700	4.366478992
8800	4.346489893
8900	4.326765845
9000	4.309502415
9100	4.296248243
9200	4.273024434
9300	4.252804504
9400	4.229246562
9500	4.227063592
9600	4.208306962
9700	4.182443186
9800	4.165452073
9900	4.15703345
10000	4.146562113
10100	5.83842844
