line	chr6_peak	469ins	oil
Ky21	0.2	3	3.43161605
B73	0	0	3.6081265
M37W	0	0	3.62585126
NC358	0	3.80769231	3.64316072
CML247	2.2	0	3.81584107
CML277	0	0	3.88553654
CML228	0	0	4.03099075
Mo18W	0	0	4.19631289
Tx303	0	0	4.23921294
HP301	0	0	4.2850985
M162W	4.113265306	1	4.36556786
CML52	0	0	4.63274115
CML69	0	0	4.67791497
Ki11	0	0	4.75563478
CML322	1.2	0	4.84279629
OH7B	3.389795918	8.80769231	4.91260472
CML333	0	0	5.17792651
NC350	0	0	5.49901845
Il14H	2.839795918	13.1923077	5.98425839
P39Goodman-Buckler	6.420408163	3.88461538	8.4159315
