tissue	ULA	haplotype	ear	root	shoot	tassel
P39	30.48042798	hap1	61	58	86	28
IL14H	38.90431724	hap1	55	61	49	10
Hp301	43.51645145	hap1	49	70	75	15
M37W	45.07968188	hap1	31	45	107	NA
CML322	50.50289594	hap2	3	3	6	0
M162W	51.44399216	hap2	2	0	0	2
Oh43	52.06585089	hap3	1	3	0	5
Mo17	53.75917327		11	6	27	6
B97	55.42637444	hap1	52	88	43	31
CML103	58.03110544	hap2	5	0	0	1
Ky21	63.75936626	hap3	0	1	0	0
NC350	63.98157344	hap2	14	0	1	5
Ms71	65.90386595	hap2	NA	1	3	NA
Mo18W	67.15517623	hap2	7	NA	1	0
CML52	67.46166821	hap2	2	4	2	2
CML277	67.70854804	hap2	7	0	3	1
Ki3	68.49260516	hap2	10	1	6	0
CML333	68.53892465	hap2	14	0	8	1
CML228	68.63360228	hap2	12	0	5	2
Ki11	70.03516648	hap2	4	0	3	16
Tx303	70.15274795	hap3	1	0	0	0
CML247	70.68590851	hap2	9	0	2	0
CML69	72.27662356	hap2	1	0	2	1
Tzi8	72.90903694	hap2	9	1	2	8
Oh7B	74.21480337	hap2	1	1	1	2
B73	74.53087428	hap1	46	64	25	28
NC358	76.75752751	hap2	0	0	0	0
