"Line","UpperLeafAngle"
"38-11",59.7406700317909
"4226",36.448861988509
"4722",62.9245410900435
"A188",39.6212340689086
"A214N",71.0066862406502
"A239",57.0775690412217
"A272",50.3803243690273
"A441-5",51.0812577393083
"A556",44.3619137250033
"A6",72.738563523112
"A619",55.0649139364889
"A632",21.4799386777223
"A634",19.4967853878346
"A635",8.27553520357081
"A641",43.6925913692372
"A654",55.2314462636544
"A659",37.9802282131458
"A661",52.6302594970179
"A679",73.7818504596359
"A680",77.9779229081454
"A682",19.9473307064257
"Ab28A",66.6423752638761
"B10",34.6530787723149
"B103",58.7773013342789
"B105",69.4571630399083
"B109",64.535837549465
"B14A",33.5538853492023
"B164",57.4655834064646
"B2",64.7654238944727
"B37",59.8692743328633
"B46",46.9089763287829
"B52",64.0766123145069
"B57",51.239867059647
"B64",9.85244866803272
"B68",36.6627817657159
"B73",74.6455126570681
"B75",41.3628250201811
"B76",44.5302743270621
"B77",48.9097710919718
"B79",68.3909256376033
"B84",59.2417215452421
"C103",55.8474476446385
"C123",38.2676447439396
"C49A",40.0964564035514
"CH701-30",45.2657214941432
"CH9",40.3852067310639
"CI.7",69.9973148076987
"CI187-2",38.9567987043614
"CI21E",61.2783097693125
"CI28A",62.3550410686976
"CI31A",58.7606034343815
"CI3A",67.3937883694078
"CI64",58.8360272678976
"CI66",68.3778854534392
"CI90C",56.3531276152681
"CI91B",55.6200039132905
"CM105",27.982111614116
"CM37",48.1370839234514
"CM7",22.2462488168531
"CML10",73.1237475257853
"CML108",62.5842549796956
"CML11",65.5530855899882
"CML14",57.3098984193612
"CML154Q",57.3889651334756
"CML157Q",74.4951215711232
"CML158Q",63.2482677123938
"CML218",69.4747493267694
"CML220",52.0715647558497
"CML228",68.6218282722189
"CML238",67.3098984193612
"CML247",71.7647717245074
"CML254",72.3098984193612
"CML258",66.7358291011937
"CML261",66.8721481478133
"CML264",57.3098984193612
"CML277",68.7302347347406
"CML281",67.3098984193612
"CML287",67.3098984193612
"CML311",62.5636069683174
"CML314",68.019821900079
"CML321",62.3098984193612
"CML322",48.8608898589074
