traitMatrix_name	traitMatrix_order	our_282_name
33-16	1	33-16
38-11	2	38-11Goodman-Buckler
4226	3	4226
4722	4	4722
A188	5	A188
A214N	6	A214NGoodman-Buckler
A239	7	A239
A272	8	A272
A441-5	9	A441-5
A556	11	A556
A6	12	A6
A619	13	A619
A632	14	A632
A634	15	A634
A635	16	A635
A641	17	A641
A654	18	A654
A659	19	A659
A661	20	A661
A679	21	A679
A680	22	A680
A682	23	A682
Ab28A	24	Ab28A
B10	25	B10
B103	26	B103
B105	28	B105
B109	29	B109
B14A	31	B14A
B164	32	B164
B2	33	B2
B37	34	B37
B46	35	B46
B52	36	B52
B57	37	B57
B64	38	B64
B68	39	B68
B73	40	B73
B75	43	B75
B76	44	B76
B77	45	B77
B79	46	B79
B84	47	B84
C103	49	C103
C123	50	C123
C49A	51	C49A
CH701-30	52	CH701-30
CH9	53	CH9
CI.7	54	Ci7Goodman-Buckler
CI187-2	55	CI187-2
CI21E	56	CI21E
CI28A	57	CI28AGoodman-Buckler
CI31A	58	CI31A
CI3A	59	CI3A
CI64	60	CI64
CI66	61	CI66
CI90C	62	Ci90CGoodman-Buckler
CI91B	63	Ci91BGoodman-Buckler
CM105	64	CM105
CM37	66	CM37
CM7	67	CM7
CML10	68	CML10
CML108	70	CML108
CML11	71	CML11
CML14	72	CML14
CML154Q	73	CML154Q
CML157Q	74	CML157Q
CML158Q	75	CML158Q
CML218	76	CML218
CML220	77	CML220
CML228	78	CML228
CML238	79	CML238
CML247	80	CML247
CML254	81	CML254
CML258	82	CML258
CML261	83	CML261
CML264	84	CML264
CML277	85	CML277
CML281	86	CML281
CML287	87	CML287
CML311	88	CML311
CML314	89	CML314
CML321	90	CML321
CML322	91	CML322
CML323	92	CML323
CML328	93	CML328
CML331	94	CML331
CML332	95	CML332
CML333	96	CML333
CML341	97	CML341
CML38	98	CML38
CML45	99	CML45
CML5	100	CML5
CML52	101	CML52
CML61	102	CML61
CML69	103	CML69
CML77	104	CML77
CML91	105	CML91
CML92	106	CML92
CMV3	107	CMV3
CO106	108	CO106
CO125	109	CO125
CO255	110	CO255
D940Y	111	D940Y
DE_2	112	DE-2
DE1	114	DE1
DE811	115	DE811
E2558W	116	E2558W
EP1	117	EP1
F2834T	118	F2834T
F6	120	F6
F7	121	F7
GA209	122	GA209
GT112	123	GT112
H105W	124	H105W
H49	125	H49
H84	126	H84
H91	127	H91
H95	128	H95
H99	129	H99
Hi27	130	Hi27Goodman-Buckler
HP301	131	HP301
I137TN	133	I137TN
I205	134	I205
I29	135	I29
IA2132	136	IA2132Goodman-Buckler
Ia5125	137	Ia5125
IDS28	138	IDS28
IDS69	139	IDS69
IDS91	140	IDS91
Il101	141	Il101
Il14H	142	Il14H
Il677a	143	i1677a
K148	144	K148
K4	145	K4
K55	146	K55
K64	147	K64
Ki11	148	Ki11
Ki14	149	Ki14
Ki2021	150	Ki2021
Ki21	151	Ki21
Ki43	153	Ki43
Ki44	154	Ki44
Ky21	155	Ky21
KY226	156	KY226
KY228	157	KY228
L317	158	L317
L578	159	L578
M14	161	M14
M162W	162	M162W
M37W	163	M37W
MEF156-55-2	164	MEF156-55-2
Mo17	167	Mo17
Mo18W	169	Mo18W
MO1W	170	MO1W
Mo24W	171	Mo24W
Mo45	173	Mo45
Mo46	174	Mo46
Mo47	175	Mo47
MoG	176	MoG
Mp339	177	Mp339
MS1334	178	MS1334
MS153	179	MS153
Mt42	181	Mt42
N192	182	N192
N28Ht	183	N28Ht
N6	184	N6
NC222	186	NC222
NC230	187	NC230
NC232	188	NC232
NC236	189	NC236
NC238	190	NC238
NC250	191	NC250
NC258	192	NC258
NC260	193	NC260
NC262	194	NC262
NC264	195	NC264
NC290A	196	NC290A
NC294	197	NC294
NC296	198	NC296
NC296A	199	NC296A
NC300	201	NC300
NC302	202	NC302
NC304	203	NC304
NC306	204	NC306
NC310	205	NC310
NC314	206	NC314
NC318	207	NC318
NC320	208	NC320
NC324	209	NC324
NC326	210	NC326
NC328	211	NC328
NC33	212	NC33
NC336	213	NC336
NC338	214	NC338
NC340	215	NC340
NC342	216	NC342
NC344	217	NC344
NC346	218	NC346
NC348	219	NC348
NC350	220	NC350
NC352	221	NC352
NC354	222	NC354
NC356	223	NC356
NC358	224	NC358
NC360	225	NC360
NC362	226	NC362
NC364	227	NC364
NC366	228	NC366
NC368	229	NC368
ND246	230	ND246
Oh40B	231	Oh40B
Oh43E	233	Oh43E
Oh603	234	Oh603
OH7B	235	OH7B
Os420	236	Os420
P39	237	P39Goodman-Buckler
Pa762	238	Pa762
Pa875	239	Pa875
Pa880	240	Pa880
Pa91	241	Pa91
R168	243	R168
R177	244	R177
R229	245	R229
R4	246	R4
SA24	247	SA24
SC213R	248	SC213R
SC357	249	SC357
SC55	250	SC55
SD40	251	SD40
Sg1533	253	Sg1533
Sg18	254	Sg18
T232	255	T232
T234	256	T234
T8	257	T8
Tx303	258	Tx303
Tx601	259	Tx601
Tzi10	260	Tzi10
Tzi11	261	Tzi11
Tzi16	262	Tzi16
Tzi18	263	Tzi18
Tzi25	264	Tzi25
Tzi9	266	Tzi9
U267Y	267	U267Y
VA102	268	VA102
Va17	270	Va17
Va22	271	Va22
Va26	272	Va26
Va35	273	Va35
Va59	274	Va59
Va85	275	Va85
Va99	276	Va99
VaW6	277	VaW6
W117Ht	278	W117Ht
W153R	279	W153R
W182B	280	W182B
W22	281	W22
W64A	283	W64A
Wf9	285	Wf9
Yu796_NS	286	Yu796
