Fold,Set,Taxa
0,282test,38-11Goodman-Buckler
0,282test,A239
0,282test,A556
0,282test,A619
0,282test,A659
0,282test,A682
0,282test,Ab28A
0,282test,B103
0,282test,B164
0,282test,B2
0,282test,B46
0,282test,B52
0,282test,B75
0,282test,B79
0,282test,CH701-30
0,282test,CI187-2
0,282test,CI28AGoodman-Buckler
0,282test,Ci90CGoodman-Buckler
0,282test,Ci91BGoodman-Buckler
0,282test,DE-2
0,282test,DE1
0,282test,H49
0,282test,H95
0,282test,H99
0,282test,I205
0,282test,M14
0,282test,Mo17
0,282test,NC260
0,282test,ND246
0,282test,Oh40B
0,282test,Oh43E
0,282test,Os420
0,282test,Pa762
0,282test,Pa875
0,282test,Pa91
0,282test,R168
0,282test,R177
0,282test,R4
0,282test,SD40
0,282test,Va26
0,282test,Va99
0,282test,W182B
0,282test,W22
0,282test,W64A
0,282test,Wf9
1,282test,A214NGoodman-Buckler
1,282test,A6
1,282test,A632
1,282test,A634
1,282test,A635
1,282test,A641
1,282test,B14A
1,282test,B64
1,282test,B68
1,282test,CM105
1,282test,DE811
1,282test,H105W
1,282test,H91
2,282test,33-16
2,282test,4226
2,282test,A188
2,282test,A272
2,282test,A441-5
2,282test,A654
2,282test,A661
2,282test,B57
2,282test,B77
2,282test,C103
2,282test,C123
2,282test,C49A
2,282test,CH9
2,282test,CI21E
2,282test,CI31A
2,282test,CI3A
2,282test,CI64
2,282test,CI66
2,282test,CM37
2,282test,CM7
2,282test,CML10
2,282test,CML108
2,282test,CML91
2,282test,CMV3
2,282test,CO106
2,282test,CO125
2,282test,Ci7Goodman-Buckler
2,282test,D940Y
2,282test,E2558W
2,282test,F2834T
2,282test,F6
2,282test,GA209
2,282test,GT112
2,282test,I137TN
2,282test,ILLHy
2,282test,K148
2,282test,K4
2,282test,K55
2,282test,K64
2,282test,KY226
2,282test,KY228
2,282test,Ky21
2,282test,L578
2,282test,MO1W
2,282test,MS1334
2,282test,MS153
2,282test,Mo24W
2,282test,Mo45
2,282test,Mo46
2,282test,Mo47
2,282test,MoG
2,282test,Mp339
2,282test,Mt42
2,282test,N28Ht
2,282test,N6
2,282test,NC222
2,282test,NC230
2,282test,NC232
2,282test,NC236
2,282test,NC238
2,282test,NC258
2,282test,NC262
2,282test,NC264
2,282test,NC290A
2,282test,NC318
2,282test,NC320
2,282test,NC342
2,282test,NC344
2,282test,NC360
2,282test,NC362
2,282test,NC364
2,282test,NC366
2,282test,Oh603
2,282test,Pa880
2,282test,SC213R
2,282test,SC357
2,282test,SC55
2,282test,T232
2,282test,T234
2,282test,T8
2,282test,Tx303
2,282test,Tzi16
2,282test,Tzi25
2,282test,U267Y
2,282test,VA102
2,282test,Va17
2,282test,Va22
2,282test,Va35
2,282test,Va59
2,282test,Va85
2,282test,VaW6
2,282test,W117Ht
2,282test,W153R
2,282test,Yu796
3,282test,4722
3,282test,CO255
3,282test,EP1
3,282test,F7
3,282test,I29
3,282test,IA2132Goodman-Buckler
3,282test,IDS28
3,282test,IDS69
3,282test,IDS91
3,282test,Ia5125
3,282test,Il101
3,282test,Il14H
3,282test,L317
3,282test,MEF156-55-2
3,282test,P39Goodman-Buckler
3,282test,SA24
3,282test,Sg1533
3,282test,Sg18
3,282test,i1677a
4,282test,A679
4,282test,A680
4,282test,B10
4,282test,B105
4,282test,B109
4,282test,B37
4,282test,B76
4,282test,B84
4,282test,H84
4,282test,N192
4,282test,NC250
4,282test,NC294
4,282test,NC306
4,282test,NC310
4,282test,NC314
4,282test,NC324
4,282test,NC326
4,282test,NC328
4,282test,NC368
4,282test,R229
5,282test,CML11
5,282test,CML14
5,282test,CML154Q
5,282test,CML157Q
5,282test,CML158Q
5,282test,CML218
5,282test,CML220
5,282test,CML238
5,282test,CML254
5,282test,CML258
5,282test,CML261
5,282test,CML281
5,282test,CML287
5,282test,CML311
5,282test,CML314
5,282test,CML321
5,282test,CML323
5,282test,CML328
5,282test,CML331
5,282test,CML332
5,282test,CML341
5,282test,CML38
5,282test,CML45
5,282test,CML5
5,282test,CML61
5,282test,CML77
5,282test,CML92
5,282test,Hi27Goodman-Buckler
5,282test,Ki11
5,282test,Ki14
5,282test,Ki2021
5,282test,Ki21
5,282test,Ki43
5,282test,Ki44
5,282test,Mo18W
5,282test,NC296
5,282test,NC296A
5,282test,NC300
5,282test,NC302
5,282test,NC304
5,282test,NC33
5,282test,NC336
5,282test,NC338
5,282test,NC340
5,282test,NC346
5,282test,NC348
5,282test,NC352
5,282test,NC354
5,282test,NC356
5,282test,Tx601
5,282test,Tzi10
5,282test,Tzi11
5,282test,Tzi18
5,282test,Tzi9
