Fold,Set,Taxa
0,282train,33-16
0,282train,4226
0,282train,4722
0,282train,A188
0,282train,A214NGoodman-Buckler
0,282train,A272
0,282train,A441-5
0,282train,A6
0,282train,A632
0,282train,A634
0,282train,A635
0,282train,A641
0,282train,A654
0,282train,A661
0,282train,A679
0,282train,A680
0,282train,B10
0,282train,B105
0,282train,B109
0,282train,B14A
0,282train,B37
0,282train,B57
0,282train,B64
0,282train,B68
0,282train,B76
0,282train,B77
0,282train,B84
0,282train,C103
0,282train,C123
0,282train,C49A
0,282train,CH9
0,282train,CI21E
0,282train,CI31A
0,282train,CI3A
0,282train,CI64
0,282train,CI66
0,282train,CM105
0,282train,CM37
0,282train,CM7
0,282train,CML10
0,282train,CML108
0,282train,CML11
0,282train,CML14
0,282train,CML154Q
0,282train,CML157Q
0,282train,CML158Q
0,282train,CML218
0,282train,CML220
0,282train,CML238
0,282train,CML254
0,282train,CML258
0,282train,CML261
0,282train,CML281
0,282train,CML287
0,282train,CML311
0,282train,CML314
0,282train,CML321
0,282train,CML323
0,282train,CML328
0,282train,CML331
0,282train,CML332
0,282train,CML341
0,282train,CML38
0,282train,CML45
0,282train,CML5
0,282train,CML61
0,282train,CML77
0,282train,CML91
0,282train,CML92
0,282train,CMV3
0,282train,CO106
0,282train,CO125
0,282train,CO255
0,282train,Ci7Goodman-Buckler
0,282train,D940Y
0,282train,DE811
0,282train,E2558W
0,282train,EP1
0,282train,F2834T
0,282train,F6
0,282train,F7
0,282train,GA209
0,282train,GT112
0,282train,H105W
0,282train,H84
0,282train,H91
0,282train,Hi27Goodman-Buckler
0,282train,I137TN
0,282train,I29
0,282train,IA2132Goodman-Buckler
0,282train,IDS28
0,282train,IDS69
0,282train,IDS91
0,282train,ILLHy
0,282train,Ia5125
0,282train,Il101
0,282train,Il14H
0,282train,K148
0,282train,K4
0,282train,K55
0,282train,K64
0,282train,KY226
0,282train,KY228
0,282train,Ki11
0,282train,Ki14
0,282train,Ki2021
0,282train,Ki21
0,282train,Ki43
0,282train,Ki44
0,282train,Ky21
0,282train,L317
0,282train,L578
0,282train,MEF156-55-2
0,282train,MO1W
0,282train,MS1334
0,282train,MS153
0,282train,Mo18W
0,282train,Mo24W
0,282train,Mo45
0,282train,Mo46
0,282train,Mo47
0,282train,MoG
0,282train,Mp339
0,282train,Mt42
0,282train,N192
0,282train,N28Ht
0,282train,N6
0,282train,NC222
0,282train,NC230
0,282train,NC232
0,282train,NC236
0,282train,NC238
0,282train,NC250
0,282train,NC258
0,282train,NC262
0,282train,NC264
0,282train,NC290A
0,282train,NC294
0,282train,NC296
0,282train,NC296A
0,282train,NC300
0,282train,NC302
0,282train,NC304
0,282train,NC306
0,282train,NC310
0,282train,NC314
0,282train,NC318
0,282train,NC320
0,282train,NC324
0,282train,NC326
0,282train,NC328
0,282train,NC33
0,282train,NC336
0,282train,NC338
0,282train,NC340
0,282train,NC342
0,282train,NC344
0,282train,NC346
0,282train,NC348
0,282train,NC352
0,282train,NC354
0,282train,NC356
0,282train,NC360
0,282train,NC362
0,282train,NC364
0,282train,NC366
0,282train,NC368
0,282train,Oh603
0,282train,P39Goodman-Buckler
0,282train,Pa880
0,282train,R229
0,282train,SA24
0,282train,SC213R
0,282train,SC357
0,282train,SC55
0,282train,Sg1533
0,282train,Sg18
0,282train,T232
0,282train,T234
0,282train,T8
0,282train,Tx303
0,282train,Tx601
0,282train,Tzi10
0,282train,Tzi11
0,282train,Tzi16
0,282train,Tzi18
0,282train,Tzi25
0,282train,Tzi9
0,282train,U267Y
0,282train,VA102
0,282train,Va17
0,282train,Va22
0,282train,Va35
0,282train,Va59
0,282train,Va85
0,282train,VaW6
0,282train,W117Ht
